Brand,Product_description,price,Link
DAVINCHI,Solid Leather Slip-On Shoes,Rs. 7990,https://www.myntra.com/formal-shoes/davinchi/davinchi-black-solid-formal-leather-slip-on-shoes/13220678/buy
Geox,Leather Mid-Top Chelsea Boots,Rs. 8999,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-mid-top-chelsea-boots/13131968/buy
Puma,Men Hydra Running Shoes,Rs. 6199,https://www.myntra.com/sports-shoes/puma/puma-men-black-lqdcell-hydra-running-shoes/12282264/buy
Vans,Unisex Solid Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/vans/vans-unisex-black-solid-sneakers/12295830/buy
Geox,Men Solid Leather Sneakers,Rs. 6599,https://www.myntra.com/casual-shoes/geox/geox-men-black-solid-leather-sneakers/10884622/buy
UNDER ARMOUR,HOVR Sonic 3 Running Shoes,Rs. 10999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black-woven-design-bluetooth-hovr-sonic-3-running-shoes-/11634252/buy
ADIDAS Originals,Men Superstar Sneakers,Rs. 9299,https://www.myntra.com/casual-shoes/adidas-originals/adidas-originals-men-black-perforated-superstar-sneakers/12709158/buy
Geox,Men Leather Formal Monks,Rs. 9599,https://www.myntra.com/formal-shoes/geox/geox-men-black-leather-formal-monks/10029399/buy
UNDER ARMOUR,Women Liquify Rebel Running,Rs. 8999,https://www.myntra.com/sports-shoes/under-armour/under-armour-women-black--charcoal-grey-woven-design-liquify-rebel-running-shoes/12247064/buy
Tommy Hilfiger,Men TS PRO 1 Sneakers,Rs. 6399,https://www.myntra.com/casual-shoes/tommy-hilfiger/tommy-hilfiger-men-black-ts-pro-1-sneakers/12449002/buy
Cole Haan,Women Leather Sneakers,Rs. 8249,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-leather-sneakers/8199511/buy
Vans,Men Striped Sneakers,Rs. 9999,https://www.myntra.com/casual-shoes/vans/vans-men-black-ave-pro-sneakers/12295810/buy
UNDER ARMOUR,Men Liquify Running Shoes,Rs. 10999,https://www.myntra.com/sports-shoes/under-armour/under-armour-men-black--blue-liquify-woven-design-running-shoes/12819536/buy
Kenneth Cole,Men Solid Formal Genuine Leather Derbys,Rs. 6153,https://www.myntra.com/formal-shoes/kenneth-cole/kenneth-cole-men-black-solid-formal-genuine-leather-derbys/13135142/buy
Cole Haan,Women Solid Leather Ballerinas,Rs. 10499,https://www.myntra.com/flats/cole-haan/cole-haan-women-black-solid-leather-ballerinas/11426342/buy
Cole Haan,Women ZeroGrand All Day Stitchlite Runner Sneakers,Rs. 7999,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-woven-design-synthetic-leather-mid-top-sneakers/11578218/buy
Ruosh,Men Solid Leather Formal Monks,Rs. 6990,https://www.myntra.com/formal-shoes/ruosh/ruosh-men-black-solid-leather-formal-monks/11714648/buy
KIPRUN By Decathlon,Men Running Shoes,Rs. 7499,https://www.myntra.com/sports-shoes/kiprun-by-decathlon/kiprun-by-decathlon-men-black-synthetic-running-shoes/13059410/buy
Heel & Buckle London,Men Leather Formal Oxfords,Rs. 7693,https://www.myntra.com/formal-shoes/heel--buckle-london/heel--buckle-london-men-black-solid-leather-formal-oxfords/10878290/buy
FILA,Women Printed Sneakers,Rs. 7999,https://www.myntra.com/casual-shoes/fila/fila-women-black--printed-sneakers/11708852/buy
Geox,Men Leather Formal Derbys,Rs. 7794,https://www.myntra.com/formal-shoes/geox/geox-men-black-solid-leather-formal-derbys/11708826/buy
Cole Haan,Women Woven Design Sneakers,Rs. 7499,https://www.myntra.com/casual-shoes/cole-haan/cole-haan-women-black-zerogrand-global-trainer-sneakers/11910804/buy
