Brand,Product_description,price,discount_percentage,Link
Aura ,Stylish and Comfortable Sneakers For Men  (Black),₹269,46% off,https://www.flipkart.com/aura-stylish-comfortable-sneakers-men/p/itmf6hbrgpzb38jk?pid=SHOF6M2NMFSGABP8&lid=LSTSHOF6M2NMFSGABP8MFGLUL&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOF6M2NMFSGABP8.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
T-Rock ,Synthetic Leather Casual Partywear Wedding Sneakers Shoes For Men Sneakers For Men  (Grey),₹399,60% off,https://www.flipkart.com/t-rock-synthetic-leather-casual-partywear-wedding-sneakers-shoes-men/p/itmfhkz7qghnktdg?pid=SHOFHKH6THADSSXU&lid=LSTSHOFHKH6THADSSXUEGAAQD&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFHKH6THADSSXU.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Provogue ,Sneakers For Men  (Navy),₹674,67% off,https://www.flipkart.com/provogue-sneakers-men/p/itmfbtw7zgupnqhr?pid=SHOFBTW77ZMTURHZ&lid=LSTSHOFBTW77ZMTURHZRNTIIJ&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLsWLmIyW3eSj1Tmsg7rFeA1VZHLK7UW5YKdCp4dLlGnAg%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
D-SNEAKERZ ,"Casual , Partywear Sneakers Shoes For Men's And Boys White Color Sneakers For Men  (White)",₹368,44% off,https://www.flipkart.com/d-sneakerz-casual-partywear-sneakers-shoes-men-s-boys-white-color-men/p/itmf3xujnyvhbeqh?pid=SHOFFT35TZJFPTA4&lid=LSTSHOFFT35TZJFPTA4GQXUMX&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFFT35TZJFPTA4.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,Super 445 Fashion Sneakers For Men  (Navy),₹389,22% off,https://www.flipkart.com/chevit-super-445-fashion-sneakers-men/p/itm66119bb8aece9?pid=SHOFYAT7HUFHBTBE&lid=LSTSHOFYAT7HUFHBTBELSIG7O&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFYAT7HUFHBTBE.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
SCATCHITE ,Sneakers Sneakers For Men  (White),₹419,58% off,https://www.flipkart.com/scatchite-sneakers-men/p/itmc13680b1d9604?pid=SHOFUDSUHXHE67UG&lid=LSTSHOFUDSUHXHE67UGSXKTQ1&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFUDSUHXHE67UG.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
bluemaker ,casual for men (blue 06) Sneakers For Men  (Blue),₹549,45% off,https://www.flipkart.com/bluemaker-casual-men-blue-06-sneakers/p/itm3f838f669177a?pid=SHOFUSH75ABRTZMY&lid=LSTSHOFUSH75ABRTZMY8H410M&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFUSH75ABRTZMY.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Echor ,HHM Sneakers For Men  (Black),₹601,39% off,https://www.flipkart.com/echor-hhm-sneakers-men/p/itmb7bba47358346?pid=SHOFXKA46PHGDGDJ&lid=LSTSHOFXKA46PHGDGDJHAVFR7&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFXKA46PHGDGDJ.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Ducati ,Sneakers For Men  (Black),"₹2,099",43% off,https://www.flipkart.com/ducati-sneakers-men/p/itmfgnnhzgcesyz7?pid=SHOFGNKZGHG4C8BY&lid=LSTSHOFGNKZGHG4C8BYQ27G4W&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLsZ2w%2F20RZD1WC5uUzeBOewGauj7YVzYMnRnDdqX3Pb8w%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Echor ,"shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party Sneakers For Men  (Blue)",₹601,39% off,https://www.flipkart.com/echor-shoes-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party/p/itm16da3b8cff603?pid=SHOFXKA4JUVQBJJ6&lid=LSTSHOFXKA4JUVQBJJ6U49XHT&marketplace=FLIPKART&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=9d7aac87-7c46-40b8-b09b-3533d3ef4816.SHOFXKA4JUVQBJJ6.SEARCH&ssid=h24ejg9tsw0000001611754406039&qH=a1743c0d39461290
